dataset,model,layer,method,value,speaker
timit,hubert-large-en,17,km_4_mi,0.5930131617900382,False
timit,hubert-large-en,17,km_8_mi,0.8111253892948816,False
timit,hubert-large-en,17,km_16_mi,1.1131160984135504,False
timit,hubert-large-en,17,km_32_mi,1.550531479633694,False
timit,hubert-large-en,17,km_64_mi,1.8672006533832486,False
timit,hubert-large-en,17,km_128_mi,2.157268667916498,False
timit,hubert-large-en,17,km_256_mi,2.463581974403381,False
timit,hubert-large-en,17,km_512_mi,2.6733191251901514,False
timit,hubert-large-en,17,km_1024_mi,2.8251937448282294,False
timit,hubert-large-en,17,entropy,3.3947674978523117,False
timit,hubert-large-en,17,clf_mi,3.08965561057446,False
timit,hubert-large-en,18,km_2_mi,0.00981027755099931,True
timit,hubert-large-en,18,km_4_mi,0.026061395799352256,True
timit,hubert-large-en,18,km_8_mi,0.05809114534529707,True
timit,hubert-large-en,18,km_16_mi,0.12558532600314876,True
timit,hubert-large-en,18,km_32_mi,0.26934516983850604,True
timit,hubert-large-en,18,km_64_mi,0.5168704669741205,True
timit,hubert-large-en,18,km_128_mi,0.9044882319925903,True
timit,hubert-large-en,18,km_256_mi,1.439726072429586,True
timit,hubert-large-en,18,km_512_mi,1.95756239632833,True
timit,hubert-large-en,18,km_1024_mi,2.5204491191088656,True
timit,hubert-large-en,18,entropy,6.438161419540647,True
timit,hubert-large-en,18,clf_mi,4.184111180085555,True
timit,hubert-large-en,18,km_2_mi,0.36993419636415187,False
timit,hubert-large-en,18,km_4_mi,0.5960348144570227,False
timit,hubert-large-en,18,km_8_mi,0.7945774209715977,False
timit,hubert-large-en,18,km_16_mi,1.1549054681053619,False
timit,hubert-large-en,18,km_32_mi,1.3963087691051759,False
timit,hubert-large-en,18,km_64_mi,1.751949393414743,False
timit,hubert-large-en,18,km_128_mi,2.064779207611915,False
timit,hubert-large-en,18,km_256_mi,2.374011250467637,False
timit,hubert-large-en,18,km_512_mi,2.587235577823427,False
timit,hubert-large-en,18,km_1024_mi,2.75441192113044,False
timit,hubert-large-en,18,entropy,3.3947674978523117,False
